observ,profile1,tectonics1,tg1,profile2,tectonics2,profile3,tg2,tectonics3,tg3,profile4,tectonics4,tg4,profile5,tectonics5,tg5,profile6,tectonics6,tg6,profile7,tectonics7,tg7,profile8,tectonics8,tg8,profile9,tectonics9,tg9,profile10,tectonics10,tg10,profile11,tectonics11,tg11,profile12,tectonics12,tg12,profile13,tectonics13,tg13,profile14,tectonics14,tg14,profile15,tectonics15,tg15,profile16,tectonics16,tg16,profile17,tectonics17,tg17,profile18,tectonics18,tg18,profile19,tectonics19,tg19,profile20,tectonics20,tg20,profile21,tectonics21,tg21,profile22,tectonics22,tg22,profile23,tectonics23,tg23,profile24,tectonics24,tg24,profile25,tectonics25,tg25
321,-3400,Ph,0.05959421,-4350,Ma,-4600,0.05889147,Pc,0.07532998,-2850,Ma,0.06502649,-6700,Pc,0.06545271,-3050,Pc,0.07206682,-5100,Pc,0.07767503,-6400,Pc,0.07206682,-3900,Pc,0.07532998,-4000,Pc,0.06588456,-4050,Ma,0.06031394,-4650,Ma,0.06813234,-4350,Ma,0.06721504,-3450,Ma,0.05854629,-2550,Ma,0.05469926,-4000,Ma,0.0553049,-4050,Ph,0.0553049,-1700,Ph,0.05268023,-8100,Ph,0.05500041,-2400,Ph,0.05324171,-8200,Ph,0.04720483,-2150,Ph,0.05132705,-4250,Ph,0.08082045,-3450,Ph,0.08082045,-4800,Ph,0.06721504
322,-3400,Ph,0.05959421,-4350,Ma,-4350,0.05889147,Pc,0.07532998,-2850,Ma,0.06502649,-6700,Pc,0.06545271,-3050,Pc,0.07206682,-5100,Pc,0.07767503,-6450,Pc,0.07206682,-3900,Pc,0.07532998,-4000,Pc,0.06588456,-4250,Ma,0.06031394,-4600,Ma,0.06813234,-4350,Ma,0.06721504,-3450,Ma,0.05854629,-2550,Ma,0.05469926,-4000,Ma,0.0553049,-4100,Ph,0.0553049,-1750,Ph,0.05268023,-8100,Ma,0.05500041,-1900,Ph,0.05324171,-8200,Ph,0.04720483,-2100,Ph,0.05132705,-4250,Ph,0.08082045,-3450,Ph,0.08082045,-4850,Ph,0.06721504
323,-3400,Ph,0.05959421,-4350,Ma,-4350,0.05889147,Pc,0.07532998,-2850,Ma,0.06502649,-6700,Pc,0.06545271,-3050,Pc,0.07206682,-5100,Pc,0.07767503,-6450,Pc,0.07206682,-3900,Pc,0.07532998,-4200,Pc,0.06588456,-4250,Ma,0.06031394,-4600,Ma,0.06813234,-4550,Ma,0.06721504,-3500,Ma,0.05854629,-2550,Ma,0.05469926,-4050,Ma,0.0553049,-4100,Ph,0.0553049,-1750,Ph,0.05268023,-8150,Ma,0.05500041,-1900,Ph,0.05324171,-8100,Ph,0.04720483,-2100,Ph,0.05132705,-4200,Ph,0.08082045,-3450,Ph,0.08082045,-4850,Ph,0.06721504
324,-3450,Ph,0.05959421,-4400,Ma,-4350,0.05889147,Pc,0.07532998,-2850,Ma,0.06502649,-6900,Pc,0.06545271,-3100,Pc,0.07206682,-5100,Pc,0.07767503,-4800,Pc,0.07206682,-3900,Pc,0.07532998,-4200,Pc,0.06588456,-4300,Ma,0.06031394,-4550,Ma,0.06813234,-4550,Ma,0.06721504,-3500,Ma,0.05854629,-2550,Ma,0.05469926,-4050,Ma,0.0553049,-4150,Ph,0.0553049,-1800,Ph,0.05268023,-8150,Ma,0.05500041,-3100,Ph,0.05324171,-8100,Ph,0.04720483,-2400,Ph,0.05132705,-4200,Ph,0.08082045,-3500,Ph,0.08082045,-4850,Ph,0.06721504
325,-3450,Ph,0.05959421,-4400,Ma,-4350,0.05889147,Pc,0.07532998,-2900,Ma,0.06502649,-6900,Pc,0.06545271,-3100,Pc,0.07206682,-5150,Pc,0.07767503,-4800,Pc,0.07206682,-3900,Pc,0.07532998,-4200,Pc,0.06588456,-4300,Ma,0.06031394,-4550,Ma,0.06813234,-4300,Ma,0.06721504,-3500,Ma,0.05854629,-2600,Ma,0.05469926,-4100,Ma,0.0553049,-4150,Ph,0.0553049,-1800,Ph,0.05268023,-7500,Ma,0.05500041,-3100,Ph,0.05324171,-8150,Ph,0.04720483,-2400,Ph,0.05132705,-4150,Ph,0.08082045,-3500,Ph,0.08082045,-4850,Ph,0.06721504
326,-3450,Ph,0.05959421,-4400,Ma,-4350,0.05889147,Pc,0.07532998,-2900,Ma,0.06502649,-7250,Pc,0.06545271,-3100,Pc,0.07206682,-5150,Pc,0.07767503,-4650,Pc,0.07206682,-3900,Pc,0.07532998,-4200,Pc,0.06588456,-4200,Ma,0.06031394,-4850,Ma,0.06813234,-4300,Ma,0.06721504,-3500,Ma,0.05854629,-2600,Ma,0.05469926,-4100,Ma,0.0553049,-4200,Ph,0.0553049,-1850,Ph,0.05268023,-7500,Ma,0.05500041,-3150,Ph,0.05324171,-8150,Ph,0.04720483,-2350,Ph,0.05132705,-4150,Ph,0.08082045,-3500,Ph,0.08082045,-4850,Ph,0.06721504
327,-3450,Ph,0.05959421,-4400,Ma,-4350,0.05889147,Pc,0.07532998,-2900,Ma,0.06502649,-7250,Pc,0.06545271,-3100,Pc,0.07206682,-5150,Pc,0.07767503,-4650,Pc,0.07206682,-6550,Pc,0.07532998,-4250,Pc,0.06588456,-4200,Ma,0.06031394,-4850,Ma,0.06813234,-4600,Ma,0.06721504,-3550,Ma,0.05854629,-2600,Ma,0.05469926,-4150,Ma,0.0553049,-4200,Ph,0.0553049,-1850,Ph,0.05268023,-7450,Ma,0.05500041,-3150,Ph,0.05324171,-7500,Ph,0.04720483,-2350,Ph,0.05132705,-4500,Ph,0.08082045,-3500,Ph,0.08082045,-4850,Ph,0.06721504
328,-3450,Ph,0.05959421,-4400,Ma,-4400,0.05889147,Pc,0.07532998,-2900,Ma,0.06502649,-7150,Pc,0.06545271,-3150,Pc,0.07206682,-5150,Pc,0.07767503,-4700,Pc,0.07206682,-6550,Pc,0.07532998,-4250,Pc,0.06588456,-4350,Ma,0.06031394,-4800,Ma,0.06813234,-4600,Ma,0.06721504,-3550,Ma,0.05854629,-2600,Ma,0.05469926,-4150,Ma,0.0553049,-3650,Ph,0.0553049,-1900,Ph,0.05268023,-7450,Ma,0.05500041,-3050,Ph,0.05324171,-7500,Ph,0.04720483,-2300,Ph,0.05132705,-4500,Ph,0.08082045,-3550,Ph,0.08082045,-4900,Ph,0.06721504
329,-3450,Ph,0.05959421,-4400,Ma,-4400,0.05889147,Pc,0.07532998,-3100,Ma,0.06502649,-7150,Pc,0.06545271,-3150,Pc,0.07206682,-5150,Pc,0.07767503,-4700,Pc,0.07206682,-6500,Pc,0.07532998,-4300,Pc,0.06588456,-4350,Ma,0.06031394,-4800,Ma,0.06813234,-4250,Ma,0.06721504,-3550,Ma,0.05854629,-2650,Ma,0.05469926,-4200,Ma,0.0553049,-3650,Ph,0.0553049,-1900,Ph,0.05268023,-7400,Ma,0.05500041,-3050,Ph,0.05324171,-7450,Ph,0.04720483,-2300,Ph,0.05132705,-4450,Ph,0.08082045,-3550,Ph,0.08082045,-4900,Ph,0.06721504
330,-3500,Ph,0.05959421,-4450,Ma,-4400,0.05889147,Pc,0.07532998,-3100,Ma,0.06502649,-7300,Pc,0.06545271,-3150,Pc,0.07206682,-5150,Pc,0.07767503,-4750,Pc,0.07206682,-6500,Pc,0.07532998,-4300,Pc,0.06588456,-4750,Ma,0.06031394,-4750,Ma,0.06813234,-4250,Ma,0.06721504,-3550,Ma,0.05854629,-2650,Ma,0.05469926,-4200,Ma,0.0553049,-3650,Ph,0.0553049,-1950,Ph,0.05268023,-7400,Ma,0.05500041,-3150,Ph,0.05324171,-7450,Ph,0.04720483,-2250,Ph,0.05132705,-4450,Ph,0.08082045,-3550,Ph,0.08082045,-4900,Ph,0.06721504
